Cepa	Ant	Vol	Rad
INP12A	Gentamicina (Gm)	1.25	10.5
INP12A	Gentamicina (Gm)	1.25	11.5
INP12A	Carbenicilina (Car)	10	14.5
INP12A	Carbenicilina (Car)	10	14
INP12A	Carbenicilina (Car)	10	13
INP12A	Carbenicilina (Car)	5	10.5
INP12A	Carbenicilina (Car)	5	12
INP12A	Carbenicilina (Car)	5	11
INP12A	Carbenicilina (Car)	2.5	8
INP12A	Carbenicilina (Car)	2.5	10
INP12A	Carbenicilina (Car)	2.5	8
INP12A	Carbenicilina (Car)	1.25	4.5
INP12A	Carbenicilina (Car)	1.25	6
INP12A	Carbenicilina (Car)	1.25	4.5
INP12A	Cloramfenicol (Cm)	10	21
INP12A	Cloramfenicol (Cm)	10	22
INP12A	Cloramfenicol (Cm)	10	25
INP12A	Cloramfenicol (Cm)	5	19
INP12A	Cloramfenicol (Cm)	5	NA
INP12A	Cloramfenicol (Cm)	5	20
INP12A	Cloramfenicol (Cm)	2.5	13
INP12A	Cloramfenicol (Cm)	2.5	19
INP12A	Cloramfenicol (Cm)	2.5	12
INP12A	Cloramfenicol (Cm)	1.25	11
INP12A	Cloramfenicol (Cm)	1.25	10
INP12A	Cloramfenicol (Cm)	1.25	9
